id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet
R0123,PubMed,2026-01-20,Applications of artificial intelligence in abdominal imaging.,Gupta A; Rajamohan N; Bansal B; Chaudhri S; Chandarana H et al.,2025,Abdominal radiology (New York),10.1007/s00261-025-04990-0,"The rapid advancements in artificial intelligence (AI) carry the promise to reshape abdominal imaging by offering transformative solutions to challenges in disease detection, classification, and personalized care. AI applications, particularly those leveraging deep learning and radiomics, have demon..."
R0124,PubMed,2026-01-20,Evaluation of a deep-learning segmentation model for patients with colorectal cancer liver metastases (COALA) in the radiological workflow.,Zeeuw M; Bereska J; Strampel M; Wagenaar L; Janssen B et al.,2025,Insights into imaging,10.1186/s13244-025-01984-w,"For patients with colorectal liver metastases (CRLM), total tumor volume (TTV) is prognostic. A deep-learning segmentation model for CRLM to assess TTV called COlorectal cAncer Liver metastases Assessment (COALA) has been developed. This study evaluated COALA's performance and practical utility in t..."
R0125,PubMed,2026-01-20,FasNet: a hybrid deep learning model with attention mechanisms and uncertainty estimation for liver tumor segmentation on LiTS17.,Singh R; Gupta S; Almogren A; Rehman AU; Bharany S et al.,2025,Scientific reports,10.1038/s41598-025-98427-9,"Liver cancer, especially hepatocellular carcinoma (HCC), remains one of the most fatal cancers globally, emphasizing the critical need for accurate tumor segmentation to enable timely diagnosis and effective treatment planning. Traditional imaging techniques, such as CT and MRI, rely on manual inter..."
R0126,PubMed,2026-01-20,Pancreas segmentation in CT scans: A novel MOMUNet based workflow.,Juwita J; Hassan GM; Datta A,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.110346,"Automatic pancreas segmentation in CT scans is crucial for various medical applications, including early diagnosis and computer-assisted surgery. However, existing segmentation methods remain suboptimal due to significant pancreas size variations across slices and severe class imbalance caused by th..."
R0127,PubMed,2026-01-20,Deep Learning with Domain Randomization in Image and Feature Spaces for Abdominal Multiorgan Segmentation on CT and MRI Scans.,Shi Y; Wang L; Qureshi TA; Deng Z; Xie Y et al.,2025,Radiology. Artificial intelligence,10.1148/ryai.240586,"Purpose To develop a deep learning segmentation model that can segment abdominal organs on CT and MRI scans with high accuracy and generalization ability. Materials and Methods In this study, an extended nnU-Net model was trained for abdominal organ segmentation. A domain randomization method in bot..."
R0128,PubMed,2026-01-20,Inference-specific learning for improved medical image segmentation.,Chen Y; Liu S; Li M; Han B; Xing L,2025,Medical physics,10.1002/mp.17883,"Deep learning networks map input data to output predictions by fitting network parameters using training data. However, applying a trained network to new, unseen inference data resembles an interpolation process, which may lead to inaccurate predictions if the training and inference data distributio..."
R0129,PubMed,2026-01-20,Deep learning-based auto-contouring of organs/structures-at-risk for pediatric upper abdominal radiotherapy.,Ding M; Maspero M; Littooij AS; van Grotel M; Fajardo RD et al.,2025,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,10.1016/j.radonc.2025.110914,This study aimed to develop a computed tomography (CT)-based multi-organ segmentation model for delineating organs-at-risk (OARs) in pediatric upper abdominal tumors and evaluate its robustness across multiple datasets. In-house postoperative CTs from pediatric patients with renal tumors and neurobl...
R0130,PubMed,2026-01-20,Deep learning for liver lesion segmentation and classification on staging CT scans of colorectal cancer patients: a multi-site technical validation study.,Bashir U; Wang C; Smillie R; Rayabat Khan AK; Tamer Ahmed H et al.,2025,Clinical radiology,10.1016/j.crad.2025.106914,To validate a liver lesion detection and classification model using staging computed tomography (CT) scans of colorectal cancer (CRC) patients. A UNet-based deep learning model was trained on 272 public liver tumour CT scans and tested on 220 CRC staging CTs acquired from a single institution (2014-...
R0131,PubMed,2026-01-20,Kidney Disease Segmentation and Classification Using Firefly Sigma Seeker and MagWeight Rank Techniques.,Zebari DA,2025,"Bioengineering (Basel, Switzerland)",10.3390/bioengineering12040350,"Deep learning models possess the ability to precisely analyze medical images such as MRI, CT scans, and ultrasound images. This automated diagnostic process facilitates the early detection of kidney disease by identifying any abnormalities or signs of disease. Consequently, it allows for timely inte..."
R0132,PubMed,2026-01-20,Improved SwinUNet with fusion transformer and large kernel convolutional attention for liver and tumor segmentation in CT images.,Jiang L; Hu J; Huang T,2025,Scientific reports,10.1038/s41598-025-98938-5,"Segmentation of both liver and liver tumors is a critical step in radiation therapy of hepatocellular carcinoma. Despite numerous algorithms have been proposed for organ and tumor delineation, automatic segmentation of livers and liver tumors remains a challenge due to their blurred boundaries and l..."
R0133,PubMed,2026-01-20,CT-based artificial intelligence system complementing deep learning model and radiologist for liver fibrosis staging.,Zheng S; Ma W; Mu L; He K; Cao J et al.,2025,iScience,10.1016/j.isci.2025.112224,"Noninvasive methods for liver fibrosis staging are urgently needed due to its significance in predicting significant morbidity and mortality. In this study, we developed an automated DL-based segmentation and classification model (Model-C). Test-time adaptation was used to address data distribution ..."
R0134,PubMed,2026-01-20,EMCAH-Net: an effective multi-scale context aggregation hybrid network for medical image segmentation.,Jin Y; Tian R; Yu Q; Bai Y; Chao G et al.,2025,Quantitative imaging in medicine and surgery,10.21037/qims-24-1983,"Pixel-level medical image segmentation tasks are challenging due to factors such as variable target scales, complex geometric shapes, and low contrast. Although U-shaped hybrid networks have demonstrated strong performance, existing models often fail to effectively integrate the local features captu..."
R0135,PubMed,2026-01-20,TRUSTED: The Paired 3D Transabdominal Ultrasound and CT Human Data for Kidney Segmentation and Registration Research.,Ndzimbong W; Fourniol C; Themyr L; Thome N; Keeza Y et al.,2025,Scientific data,10.1038/s41597-025-04467-1,"Inter-modal image registration (IMIR) and image segmentation with abdominal Ultrasound (US) data have many important clinical applications, including image-guided surgery, automatic organ measurement, and robotic navigation. However, research is severely limited by the lack of public datasets. We pr..."
R0136,PubMed,2026-01-20,Explainable and Robust Deep Learning for Liver Segmentation Through U-Net Network.,Brunese MC; Rocca A; Santone A; Cesarelli M; Brunese L et al.,2025,"Diagnostics (Basel, Switzerland)",10.3390/diagnostics15070878,"<b>Background/Objectives:</b> Clinical imaging techniques, such as magnetic resonance imaging and computed tomography, play a vital role in supporting clinicians by aiding disease diagnosis and facilitating the planning of appropriate interventions. This is particularly important in malignant condit..."
R0137,PubMed,2026-01-20,AI-based automatic estimation of single-kidney glomerular filtration rate and split renal function using non-contrast CT.,Wang Y; Xu F; Han Q; Geng D; Gao X et al.,2025,Insights into imaging,10.1186/s13244-025-01959-x,"To address SPECT's radioactivity, complexity, and costliness in measuring renal function, this study employs artificial intelligence (AI) with non-contrast CT to estimate single-kidney glomerular filtration rate (GFR) and split renal function (SRF). 245 patients with atrophic kidney or hydronephrosi..."
R0138,PubMed,2026-01-20,Three-dimensional organ segmentation-derived CT attenuation parameters for assessing hepatic steatosis in chronic hepatitis B patients.,Yoo J; Joo I; Jeon SK; Park J; Cho EJ,2025,Scientific reports,10.1038/s41598-025-96053-z,The utility of CT-derived parameters for hepatic steatosis assessment has primarily focused on non-alcoholic fatty liver disease. This study aimed to evaluate their applicability in chronic hepatitis B (CHB) through a retrospective analysis of 243 CHB patients. Using deep-learning-based 3D organ seg...
R0139,PubMed,2026-01-20,Kidney cancer diagnosis and surgery selection by double decker convolutional neural network from CT scans combined with great wall construction algorithm.,Kumar H; Taluja A; Muniyandy E; Kolli S,2025,Abdominal radiology (New York),10.1007/s00261-025-04900-4,"One of the most prevalent cancers in the world is kidney cancer (KC). A precise diagnosis, which is influenced by a number of variables, such as the size or volume of the tumor, the types and stages of the cancer, etc., is essential for the treatment of patients with kidney cancer. In this work two ..."
R0140,PubMed,2026-01-20,Point-cloud segmentation with in-silico data augmentation for prostate cancer treatment.,Zhou J; Salvatori M; Fejza K; Hermann GM; Fulvio AD,2025,Medical physics,10.1002/mp.17815,"In external x-ray radiation therapy, the administered dose distribution can deviate from the planned dose due to alterations in patient positioning, changes in intra-fraction anatomy, and the limited precision of the beam delivery system in spatial terms. Adaptive radiation therapy (ART) can potenti..."
R0141,PubMed,2026-01-20,Trade-off of different deep learning-based auto-segmentation approaches for treatment planning of pediatric craniospinal irradiation autocontouring of OARs for pediatric CSI.,Thibodeau-Antonacci A; Popovic M; Ates O; Hua CH; Schneider J et al.,2025,Medical physics,10.1002/mp.17782,"As auto-segmentation tools become integral to radiotherapy, more commercial products emerge. However, they may not always suit our needs. One notable example is the use of adult-trained commercial software for the contouring of organs at risk (OARs) of pediatric patients. This study aimed to compare..."
R0142,PubMed,2026-01-20,Uncertainty quantification for CT dosimetry based on 10 281 subjects using automatic image segmentation and fast Monte Carlo calculations.,Ye Z; Yao B; Zheng H; Tao L; Wang R et al.,2025,Medical physics,10.1002/mp.17796,"Computed tomography (CT) scans are a major source of medical radiation exposure worldwide. In countries like China, the frequency of CT scans has grown rapidly, thus making available a large volume of organ dose information. With modern computational methods, we are now able to overcome challenges i..."
R0143,PubMed,2026-01-20,Domain-Adaptive and Per-Fraction Guided Deep Learning Framework for Magnetic Resonance Imaging-Based Segmentation of Organs at Risk in Gynecologic Cancers.,Kalantar R; Ingle M; Rieu R; Curcean S; Winfield JM et al.,2025,Advances in radiation oncology,10.1016/j.adro.2025.101745,"The integration of magnetic resonance imaging into radiation therapy (RT) treatment necessitates automated segmentation algorithms for fast and accurate adaptive interventions, particularly in magnetic resonance imaging-integrated linear accelerator (MR-linac or MRL) treatment systems. However, the ..."
R0144,PubMed,2026-01-20,[A multi-scale supervision and residual feedback optimization algorithm for improving optic chiasm and optic nerve segmentation accuracy in nasopharyngeal carcinoma CT images].,Liu J; Liang S; Zhang Y,2025,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,10.12122/j.issn.1673-4254.2025.03.21,We propose a novel deep learning segmentation algorithm (DSRF) based on multi-scale supervision and residual feedback strategy for precise segmentation of the optic chiasm and optic nerves in CT images of nasopharyngeal carcinoma (NPC) patients. We collected 212 NPC CT images and their ground truth ...
R0145,PubMed,2026-01-20,ResTransUNet: A hybrid CNN-transformer approach for liver and tumor segmentation in CT images.,Anwar AS; Amin K; Hadhoud MM; Ibrahim M,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.110048,"Accurate medical tumor segmentation is critical for early diagnosis and treatment planning, significantly improving patient outcomes. This study aims to enhance liver and tumor segmentation from CT and liver images by developing a novel model, ResTransUNet, which combines convolutional and transform..."
R0146,PubMed,2026-01-20,Fine-tuned deep learning models for early detection and classification of kidney conditions in CT imaging.,Pimpalkar A; Saini DKJB; Shelke N; Balodi A; Rapate G et al.,2025,Scientific reports,10.1038/s41598-025-94905-2,"The kidney plays a vital role in maintaining homeostasis, but lifestyle factors and diseases can lead to kidney failures. Early detection of kidney disease is crucial for effective intervention, often challenging due to unnoticeable symptoms in the initial stages. Computed tomography (CT) imaging ai..."
R0147,PubMed,2026-01-20,Deep Learning-Based Auto-Segmentation for Liver Yttrium-90 Selective Internal Radiation Therapy.,Li J; Choi W; Anne R,2025,Technology in cancer research & treatment,10.1177/15330338251327081,The aim was to evaluate a deep learning-based auto-segmentation method for liver delineation in Y-90 selective internal radiation therapy (SIRT). A deep learning (DL)-based liver segmentation model using the U-Net3D architecture was built. Auto-segmentation of the liver was tested in CT images of SI...
R0148,PubMed,2026-01-20,Development and validation of a deep learning-based automated computed tomography image segmentation and diagnostic model for infectious hydronephrosis: a retrospective multicentre cohort study.,Lai C; Hu Z; Zhu J; Dai M; Qi X et al.,2025,EClinicalMedicine,10.1016/j.eclinm.2025.103146,Accurately diagnosing whether hydronephrosis is complicated by infection is crucial for guiding appropriate clinical treatment. This study aimed to develop a fully automated segmentation and non-invasive diagnostic model for infectious hydronephrosis (IH) using CT images and a deep learning algorith...
R0149,PubMed,2026-01-20,A paired multi-scale attention network for liver tumor segmentation in 99mTc-MAA SPECT/CT imaging.,Limprapaipong W; Saeku S; Noipinit N; Khamwan K; Siricharoen P,2025,Scientific reports,10.1038/s41598-025-94195-8,"Automatic liver tumor segmentation using Single-Photon Emission Computed Tomography/Computed Tomography (SPECT/CT) provides detailed insights that facilitate accurate tumor targeting and effective treatment planning. However, challenges such as spill-out can distort tumor size, which complicates acc..."
R0150,PubMed,2026-01-20,A CT-based deep learning-driven tool for automatic liver tumor detection and delineation in patients with cancer.,Balaguer-Montero M; Marcos Morales A; Ligero M; Zatse C; Leiva D et al.,2025,Cell reports. Medicine,10.1016/j.xcrm.2025.102032,"Liver tumors, whether primary or metastatic, significantly impact the outcomes of patients with cancer. Accurate identification and quantification are crucial for effective patient management, including precise diagnosis, prognosis, and therapy evaluation. We present SALSA (system for automatic live..."
R0151,PubMed,2026-01-20,LUNETR: Language-Infused UNETR for precise pancreatic tumor segmentation in 3D medical image.,Shi Z; Zhang R; Wei X; Yu C; Xie H et al.,2025,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2025.107414,"The identification of early micro-lesions and adjacent blood vessels in CT scans plays a pivotal role in the clinical diagnosis of pancreatic cancer, considering its aggressive nature and high fatality rate. Despite the widespread application of deep learning methods for this task, several challenge..."
R0152,PubMed,2026-01-20,Segment Like A Doctor: Learning reliable clinical thinking and experience for pancreas and pancreatic cancer segmentation.,Zou L; Cao Y; Nie Z; Mao L; Qiu Y et al.,2025,Medical image analysis,10.1016/j.media.2025.103539,Pancreatic cancer is a lethal invasive tumor with one of the worst prognosis. Accurate and reliable segmentation for pancreas and pancreatic cancer on computerized tomography (CT) images is vital in clinical diagnosis and treatment. Although certain deep learning-based techniques have been tentative...
R0153,PubMed,2026-01-20,Histogram matching-enhanced adversarial learning for unsupervised domain adaptation in medical image segmentation.,Qian X; Shao HC; Li Y; Lu W; Zhang Y,2025,Medical physics,10.1002/mp.17757,"Unsupervised domain adaptation (UDA) seeks to mitigate the performance degradation of deep neural networks when applied to new, unlabeled domains by leveraging knowledge from source domains. In medical image segmentation, prevailing UDA techniques often utilize adversarial learning to address domain..."
R0154,PubMed,2026-01-20,Deep learning-based segmentation of ultra-low-dose CT images using an optimized nnU-Net model.,Salimi Y; Mansouri Z; Sun C; Sanaat A; Yazdanpanah M et al.,2025,La Radiologia medica,10.1007/s11547-025-01989-x,"Low-dose CT protocols are widely used for emergency imaging, follow-ups, and attenuation correction in hybrid PET/CT and SPECT/CT imaging. However, low-dose CT images often suffer from reduced quality depending on acquisition and patient attenuation parameters. Deep learning (DL)-based organ segment..."
R0155,PubMed,2026-01-20,Diagnosis of moderate-to-severe hepatic steatosis using deep learning-based automated attenuation measurements on contrast-enhanced CT.,Kim HY; Lee KJ; Lee SS; Choi SJ; Kim DH et al.,2025,Abdominal radiology (New York),10.1007/s00261-025-04872-5,"To evaluate the utility of deep learning-based automated attenuation measurements on contrast-enhanced CT (CECT) for diagnosing moderate-to-severe hepatic steatosis (HS), using histology as reference standard. This retrospective study included 3,620 liver donors (2,393 men and 1,227 women; mean age,..."
R0156,PubMed,2026-01-20,AI-Based 3D Liver Segmentation and Volumetric Analysis in Living Donor Data.,Mun SB; Choi ST; Kim YJ; Kim KG; Lee WS,2025,Journal of imaging informatics in medicine,10.1007/s10278-025-01468-9,"This study investigated the application of deep learning for 3-dimensional (3D) liver segmentation and volumetric analysis in living donor liver transplantation. Using abdominal computed tomography data from 55 donors, this study aimed to evaluate the liver segmentation performance of various U-Net-..."
R0157,PubMed,2026-01-20,Liver margin segmentation in abdominal CT images using U-Net and Detectron2: annotated dataset for deep learning models.,Sattari MA; Zonouri SA; Salimi A; Izadi S; Rezaei AR et al.,2025,Scientific reports,10.1038/s41598-025-92423-9,"The segmentation of liver margins in computed tomography (CT) images presents significant challenges due to the complex anatomical variability of the liver, with critical implications for medical diagnostics and treatment planning. In this study, we leverage a substantial dataset of over 4,200 abdom..."
R0158,PubMed,2026-01-20,A Protocol for Body MRI/CT and Extraction of Imaging-Derived Phenotypes (IDPs) from the China Phenobank Project.,Wang C; Wang S; Hua S; Li R; Li Y et al.,2024,"Phenomics (Cham, Switzerland)",10.1007/s43657-023-00141-x,"Currently, standard protocols for body imaging and corresponding image processing pipelines in population-based cohort studies are unavailable, limiting the applications of body imaging. Based on the China Phenobank Project (CHPP), the present study described a body imaging protocol for multiple org..."
R0159,PubMed,2026-01-20,Applying Artificial Intelligence to Quantify Body Composition on Abdominal CTs and Better Predict Kidney Transplantation Wait-List Mortality.,Yatim K; Ribas GT; Elton DC; Rockenbach MABC; Al Jurdi A et al.,2025,Journal of the American College of Radiology : JACR,10.1016/j.jacr.2025.01.004,"Prekidney transplant evaluation routinely includes abdominal CT for presurgical vascular assessment. A wealth of body composition data are available from these CT examinations, but they remain an underused source of data, often missing from prognostication models, as these measurements require organ..."
R0160,PubMed,2026-01-20,Transfer Learning with Interpretability: Liver Segmentation in CT and MR using Limited Dataset.,Prasad PJR; Fretland AA; Albregtsen F; Elle OJ; Kumar RP,2024,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC53108.2024.10782042,"Liver segmentation using deep learning (DL) is a widely discussed topic and this applies for both the modalities Computed Tomography (CT) and Magnetic Resonance Imaging (MR). However, the development of these DL networks often encounters a major hurdle: the need for large amounts of data. In this pa..."
R0161,PubMed,2026-01-20,LUCF-Net: Lightweight U-Shaped Cascade Fusion Network for Medical Image Segmentation.,She Q; Sun S; Ma Y; Li R; Zhang Y,2025,IEEE journal of biomedical and health informatics,10.1109/JBHI.2024.3506829,"The performance of modern U-shaped neural networks for medical image segmentation has been significantly enhanced by incorporating Transformer layers. Although Transformer architectures are powerful at extracting global information, its ability to capture local information is limited due to their hi..."
R0162,PubMed,2026-01-20,A systematic review of the role of artificial intelligence in automating computed tomography-based adaptive radiotherapy for head and neck cancer.,Mastella E; Calderoni F; Manco L; Ferioli M; Medoro S et al.,2025,Physics and imaging in radiation oncology,10.1016/j.phro.2025.100731,Adaptive radiotherapy (ART) may improve treatment quality by monitoring variations in patient anatomy and incorporating them into the treatment plan. This systematic review investigated the role of artificial intelligence (AI) in computed tomography (CT)-based ART for head and neck (H&N) cancer. A c...
R0163,PubMed,2026-01-20,Evaluating auto-contouring accuracy in reduced CT dose images for radiopharmaceutical therapies: Denoising and evaluation of <sup>177</sup>Lu DOTATATE therapy dataset.,Yang HT; Ko KY; Yang CC,2025,Journal of applied clinical medical physics,10.1002/acm2.70066,"Reducing radiation dose attributed to computed tomography (CT) may compromise the accuracy of organ segmentation, an important step in <sup>177</sup>Lu DOTATATE therapy that affects both activity and mass estimates. This study aimed to facilitate CT dose reduction using deep learning methods for pat..."
R0164,PubMed,2026-01-20,Systematic Review: AI Applications in Liver Imaging with a Focus on Segmentation and Detection.,Pomohaci MD; Grasu MC; Băicoianu-Nițescu AŞ; Enache RM; Lupescu IG,2025,"Life (Basel, Switzerland)",10.3390/life15020258,"The liver is a frequent focus in radiology due to its diverse pathology, and artificial intelligence (AI) could improve diagnosis and management. This systematic review aimed to assess and categorize research studies on AI applications in liver radiology from 2018 to 2024, classifying them according..."
R0165,PubMed,2026-01-20,Segmentation of ADPKD Computed Tomography Images with Deep Learning Approach for Predicting Total Kidney Volume.,Sheng TW; Onthoni DD; Gupta P; Lee TH; Sahoo PK,2025,Biomedicines,10.3390/biomedicines13020263,"<b>Background:</b> Total Kidney Volume (TKV) is widely used globally to predict the progressive loss of renal function in patients with Autosomal Dominant Polycystic Kidney Disease (ADPKD). Typically, TKV is calculated using Computed Tomography (CT) images by manually locating, delineating, and segm..."
R0166,PubMed,2026-01-20,Development and validation of a deep reinforcement learning algorithm for auto-delineation of organs at risk in cervical cancer radiotherapy.,Yucheng L; Lingyun Q; Kainan S; Yongshi J; Wenming Z et al.,2025,Scientific reports,10.1038/s41598-025-91362-9,This study was conducted to develop and validate a novel deep reinforcement learning (DRL) algorithm incorporating the segment anything model (SAM) to enhance the accuracy of automatic contouring organs at risk during radiotherapy for cervical cancer patients. CT images were collected from 150 cervi...
R0167,PubMed,2026-01-20,Automated CT Measurement of Total Kidney Volume for Predicting Renal Function Decline after <sup>177</sup>Lu Prostate-specific Membrane Antigen-I&T Radioligand Therapy.,Steinhelfer L; Jungmann F; Nickel M; Kaissis G; Hofer ML et al.,2025,Radiology,10.1148/radiol.240427,Background Lutetium 177 (<sup>177</sup>Lu) prostate-specific membrane antigen (PSMA) radioligand therapy is a novel treatment option for metastatic castration-resistant prostate cancer. Evidence suggests nephrotoxicity is a delayed adverse effect in a considerable proportion of patients. Purpose To ...
R0168,PubMed,2026-01-20,Incorporating indirect MRI information in a CT-based deep learning model for prostate auto-segmentation.,Stas D; De Kerf G; Claessens M; Karlhede A; Söderberg J et al.,2025,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,10.1016/j.radonc.2025.110806,Computed tomography (CT) imaging poses challenges for delineation of soft tissue structures for prostate cancer external beam radiotherapy. Guidelines require the input of magnetic resonance imaging (MRI) information. We developed a deep learning (DL) prostate and organ-at-risk contouring model desi...
R0169,PubMed,2026-01-20,A-Eval: A benchmark for cross-dataset and cross-modality evaluation of abdominal multi-organ segmentation.,Huang Z; Deng Z; Ye J; Wang H; Su Y et al.,2025,Medical image analysis,10.1016/j.media.2025.103499,"Although deep learning has revolutionized abdominal multi-organ segmentation, its models often struggle with generalization due to training on small-scale, specific datasets and modalities. The recent emergence of large-scale datasets may mitigate this issue, but some important questions remain unso..."
R0170,PubMed,2026-01-20,Robust and generalizable artificial intelligence for multi-organ segmentation in ultra-low-dose total-body PET imaging: a multi-center and cross-tracer study.,Wang H; Qiao X; Ding W; Chen G; Miao Y et al.,2025,European journal of nuclear medicine and molecular imaging,10.1007/s00259-025-07156-8,"Positron Emission Tomography (PET) is a powerful molecular imaging tool that visualizes radiotracer distribution to reveal physiological processes. Recent advances in total-body PET have enabled low-dose, CT-free imaging; however, accurate organ segmentation using PET-only data remains challenging. ..."
R0171,PubMed,2026-01-20,Comparative analysis of intestinal tumor segmentation in PET CT scans using organ based and whole body deep learning.,Torkaman M; Jemaa S; Fredrickson J; Fernandez Coimbra A; De Crespigny A et al.,2025,BMC medical imaging,10.1186/s12880-025-01587-3,18-Fluoro-deoxyglucose positron emission tomography/computed tomography (FDG-PET/CT) is a valuable imaging tool widely used in the management of cancer patients. Deep learning models excel at segmenting highly metabolic tumors but face challenges in regions with complex anatomy and normal cell uptak...
R0172,PubMed,2026-01-20,Automatic future remnant segmentation in liver resection planning.,Messaoudi H; Abbas M; Badic B; Ben Salem D; Belaid A et al.,2025,International journal of computer assisted radiology and surgery,10.1007/s11548-025-03331-2,"Liver resection is a complex procedure requiring precise removal of tumors while preserving viable tissue. This study proposes a novel approach for automated liver resection planning, using segmentations of the liver, vessels, and tumors from CT scans to predict the future liver remnant (FLR), aimin..."
R0173,PubMed,2026-01-20,Moving Beyond CT Body Composition Analysis: Using Style Transfer for Bringing CT-Based Fully-Automated Body Composition Analysis to T2-Weighted MRI Sequences.,Haubold J; Pollok OB; Holtkamp M; Salhöfer L; Schmidt CS et al.,2025,Investigative radiology,10.1097/RLI.0000000000001162,"Deep learning for body composition analysis (BCA) is gaining traction in clinical research, offering rapid and automated ways to measure body features like muscle or fat volume. However, most current methods prioritize computed tomography (CT) over magnetic resonance imaging (MRI). This study presen..."
R0174,PubMed,2026-01-20,Unified total body CT image with multiple organ specific windowings: validating improved diagnostic accuracy and speed in trauma cases.,Okada N; Inoue S; Liu C; Mitarai S; Nakagawa S et al.,2025,Scientific reports,10.1038/s41598-024-83346-y,"Total-body CT scans are useful in saving trauma patients; however, interpreting numerous images with varied window settings slows injury detection. We developed an algorithm for ""unified total-body CT image with multiple organ-specific windowings (Uni-CT)"", and assessing its impact on physician accu..."
R0175,PubMed,2026-01-20,Evaluation and failure analysis of four commercial deep learning-based autosegmentation software for abdominal organs at risk.,Fan M; Wang T; Lei Y; Patel PR; Dresser S et al.,2025,Journal of applied clinical medical physics,10.1002/acm2.70010,"Deep learning-based segmentation of organs-at-risk (OAR) is emerging to become mainstream in clinical practice because of the superior performance over atlas and model-based autocontouring methods. While several commercial deep learning-based autosegmentation solutions are now available, the impleme..."
R0176,PubMed,2026-01-20,Lesion segmentation method for multiple types of liver cancer based on balanced dice loss.,Xie J; Zhou J; Yang M; Xu L; Li T et al.,2025,Medical physics,10.1002/mp.17624,"Obtaining accurate segmentation regions for liver cancer is of paramount importance for the clinical diagnosis and treatment of the disease. In recent years, a large number of variants of deep learning based liver cancer segmentation methods have been proposed to assist radiologists. Due to the diff..."
R0177,PubMed,2026-01-20,Multi-scale channel attention U-Net: a novel framework for automated gallbladder segmentation in medical imaging.,Zhou Y; Wen X; Fu K; Li M; Sun L et al.,2025,Frontiers in oncology,10.3389/fonc.2025.1528654,"To develop a novel automatic delineation model, the Multi-Scale Channel Attention U-Net (MCAU-Net) model, for gallbladder segmentation on CT images of patients with liver cancer. We retrospectively collected the CT images from 120 patients with liver cancer, based on which ground truth was manually ..."
R0178,PubMed,2026-01-20,Automatic bone marrow segmentation for precise [<sup>177</sup>Lu]Lu-PSMA-617 dosimetry.,Lu Z; Hu J; Chen G; Jiang H; Shih CT et al.,2025,Medical physics,10.1002/mp.17684,"Bone marrow (BM) is the dominant dose-limiting organ in [<sup>177</sup>Lu]Lu-PSMA-617 therapy for patients with metastasized castration resistant prostate cancer, where BM dosimetry is challenging due to segmentation. We aim to develop an automatic image-based segmentation method on peri-therapeutic..."
R0179,PubMed,2026-01-20,"Ensemble Learning for Three-dimensional Medical Image Segmentation of Organ at Risk in Brachytherapy Using Double U-Net, Bi-directional ConvLSTM U-Net, and Transformer Network.",Pal S; Singh RP; Kumar A,2024,Journal of medical physics,10.4103/jmp.jmp_160_24,This article presents a novel approach to automate the segmentation of organ at risk (OAR) for high-dose-rate brachytherapy patients using three deep learning models combined with ensemble learning techniques. It aims to improve the accuracy and efficiency of segmentation. The dataset comprised comp...
R0180,PubMed,2026-01-20,ProtoSAM-3D: Interactive semantic segmentation in volumetric medical imaging via a Segment Anything Model and mask-level prototypes.,Shen Y; Dreizin D; Inigo B; Unberath M,2025,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,10.1016/j.compmedimag.2025.102501,"Semantic segmentation of volumetric medical images is essential for accurate delineation of anatomic structures and pathology, enabling quantitative analysis in precision medicine applications. While volumetric segmentation has been extensively studied, most existing methods require full supervision..."
R0181,PubMed,2026-01-20,VSNet: Vessel Structure-aware Network for hepatic and portal vein segmentation.,Xu J; Dong A; Yang Y; Jin S; Zeng J et al.,2025,Medical image analysis,10.1016/j.media.2025.103458,"Identifying and segmenting hepatic and portal veins (two predominant vascular systems in the liver, from CT scans) play a crucial role for clinicians in preoperative planning for treatment strategies. However, existing segmentation models often struggle to capture fine details of minor veins. In thi..."
R0182,PubMed,2026-01-20,Optimizing MR-based attenuation correction in hybrid PET/MR using deep learning: validation with a flatbed insert and consistent patient positioning.,Wang H; Wang Y; Xue Q; Zhang Y; Qiao X et al.,2025,European journal of nuclear medicine and molecular imaging,10.1007/s00259-025-07086-5,"To address the challenges of verifying MR-based attenuation correction (MRAC) in PET/MR due to CT positional mismatches and alignment issues, this study utilized a flatbed insert and arms-down positioning during PET/CT scans to achieve precise MR-CT matching for accurate MRAC evaluation. A validatio..."
R0183,PubMed,2026-01-20,A novel cross-modal data augmentation method based on contrastive unpaired translation network for kidney segmentation in ultrasound imaging.,Guo S; Sheng X; Chen H; Zhang J; Peng Q et al.,2025,Medical physics,10.1002/mp.17663,"Kidney ultrasound (US) image segmentation is one of the key steps in computer-aided diagnosis and treatment planning of kidney diseases. Recently, deep learning (DL) technology has demonstrated promising prospects in automatic kidney US segmentation. However, due to the poor quality, particularly th..."
